repere1	repere2	distance_m	duree_s
Sidi Bernoussi	BACHKOU	18948	1220
Hay Woroud	Sidi Bernoussi	2950146	110206
LA GIRONDE	Sidi Bernoussi	1751834	67846
Sidi Bernoussi	Derb Ghallef	19341	1551
Sidi Bernoussi	Sidi Moumen	8448	883
Sidi Bernoussi	Hay Arrahma	596588	21781
Sidi Bernoussi	Hay Moulay Rachid 4	11569	1141
Sidi Bernoussi	Bournazel	2013277	76769
Al Fida	Hay El Farah	2060	421
Hay El Farah	BACHKOU	6546	646
Hay Woroud	Hay El Farah	2958753	110501
LA GIRONDE	Hay El Farah	1760440	68141
Derb Ghallef	Hay El Farah	4743	984
Hay El Farah	Sidi Moumen	8100	890
Hay El Farah	Hay Arrahma	605195	22076
Hay El Farah	Hay Moulay Rachid 4	5395	879
Hay El Farah	Bournazel	2021883	77064
Al Fida	BACHKOU	2914	458
Al Fida	Hay Woroud	2961648	110666
Al Fida	LA GIRONDE	1763336	68306
Al Fida	Derb Ghallef	2808	628
Al Fida	Sidi Moumen	10995	1055
Al Fida	Hay Arrahma	608090	22241
Al Fida	Hay Moulay Rachid 4	8593	1032
Al Fida	Bournazel	2024779	77230
Hay Woroud	BACHKOU	2963450	110731
LA GIRONDE	BACHKOU	1765138	68371
Derb Ghallef	BACHKOU	2643	551
BACHKOU	Sidi Moumen	12797	1120
Hay Arrahma	BACHKOU	609892	22306
BACHKOU	Hay Moulay Rachid 4	10395	1097
Bournazel	BACHKOU	2026581	77295
Hay Woroud	LA GIRONDE	1209342	43687
Hay Woroud	Derb Ghallef	2965778	110515
Hay Woroud	Sidi Moumen	2954885	109848
Hay Woroud	Hay Arrahma	2649681	114686
Hay Woroud	Hay Moulay Rachid 4	2958005	110105
Hay Woroud	Bournazel	1251344	46924
LA GIRONDE	Derb Ghallef	1767807	67914
LA GIRONDE	Sidi Moumen	1756914	67247
LA GIRONDE	Hay Arrahma	1451710	72085
LA GIRONDE	Hay Moulay Rachid 4	1760034	67505
LA GIRONDE	Bournazel	321924	12476
Derb Ghallef	Sidi Moumen	12656	1265
Derb Ghallef	Hay Arrahma	609751	22451
Derb Ghallef	Hay Moulay Rachid 4	10253	1242
Derb Ghallef	Bournazel	2026439	77440
Hay Arrahma	Sidi Moumen	599595	21781
Hay Moulay Rachid 4	Sidi Moumen	4076	780
Bournazel	Sidi Moumen	2016283	76769
Hay Arrahma	Hay Moulay Rachid 4	605133	22110
Bournazel	Hay Arrahma	1560981	77654
Bournazel	Hay Moulay Rachid 4	2019212	76992
